,,,,,Dilution factor,200,
Size (nm), Read 1 (particles / ml),Read 2 (particles / ml),Read 3 (particles / ml),Average,Standard Error,,
384.5,225053,37382,61,87499,69616,,17499800
385.5,217951,35974,48,84657,67449,,16931400
386.5,210829,34626,37,81831,65268,,16366200
387.5,203701,33336,28,79022,63077,,15804400
388.5,196578,32102,22,76234,60881,,15246800
389.5,189473,30921,17,73470,58684,,14694000
390.5,182399,29791,13,70734,56490,,14146800
391.5,175367,28710,10,68029,54305,,13605800
392.5,168390,27676,7,65358,52132,,13071600
393.5,161480,26688,5,62724,49975,,12544800
394.5,154648,25742,4,60131,47839,,12026200
395.5,147906,24837,3,57582,45727,,11516400
396.5,141264,23972,2,55080,43644,,11016000
397.5,134734,23145,2,52627,41594,,10525400
398.5,128325,22354,1,50227,39579,,10045400
399.5,122047,21598,0,47882,37603,,9576400
400.5,115907,20875,0,45594,35669,,9118800
401.5,109916,20183,0,43367,33781,,8673400
402.5,104079,19522,0,41201,31940,,8240200
403.5,98404,18891,0,39098,30150,,7819600
404.5,92898,18287,0,37061,28413,,7412200
405.5,87564,17709,0,35091,26730,,7018200
406.5,82408,17157,0,33188,25103,,6637600
407.5,77433,16630,0,31354,23534,,6270800
408.5,72643,16126,0,29590,22024,,5918000
409.5,68040,15644,0,27894,20574,,5578800
410.5,63624,15183,0,26269,19185,,5253800
411.5,59398,14743,0,24714,17857,,4942800
412.5,55360,14323,0,23228,16590,,4645600
413.5,51510,13921,0,21810,15384,,4362000
414.5,47847,13538,0,20462,14240,,4092400
415.5,44369,13171,0,19180,13156,,3836000
416.5,41073,12821,0,17965,12132,,3593000
417.5,37955,12487,0,16814,11168,,3362800
418.5,35013,12167,0,15727,10263,,3145400
419.5,32242,11863,0,14702,9415,,2940400
420.5,29638,11572,0,13737,8624,,2747400
421.5,27195,11294,0,12830,7888,,2566000
422.5,24909,11029,0,11979,7206,,2395800
423.5,22773,10777,0,11183,6577,,2236600
424.5,20782,10536,0,10439,6000,,2087800
425.5,18931,10306,0,9746,5472,,1949200
426.5,17212,10087,0,9100,4993,,1820000
427.5,15621,9879,0,8500,4562,,1700000
428.5,14150,9680,0,7943,4176,,1588600
429.5,12793,9491,0,7428,3834,,1485600
430.5,11544,9312,0,6952,3535,,1390400
431.5,10398,9141,0,6513,3277,,1302600
432.5,9347,8979,0,6109,3056,,1221800
433.5,8386,8824,0,5737,2871,,1147400
434.5,7510,8678,0,5396,2719,,1079200
435.5,6712,8540,0,5084,2596,,1016800
436.5,5987,8408,0,4798,2499,,959600
437.5,5330,8284,0,4538,2424,,907600
438.5,4736,8167,0,4301,2368,,860200
439.5,4199,8056,0,4085,2326,,817000
440.5,3716,7952,0,3889,2297,,777800
441.5,3282,7854,0,3712,2277,,742400
442.5,2893,7761,0,3551,2265,,710200
443.5,2545,7675,0,3407,2257,,681400
444.5,2234,7594,0,3276,2253,,655200
445.5,1957,7519,0,3159,2252,,631800
446.5,1711,7449,0,3053,2253,,610600
447.5,1493,7384,0,2959,2254,,591800
448.5,1300,7325,0,2875,2256,,575000
449.5,1130,7270,0,2800,2259,,560000
450.5,980,7220,0,2733,2261,,546600
451.5,848,7174,0,2674,2263,,534800
452.5,732,7134,0,2622,2266,,524400
453.5,631,7097,0,2576,2268,,515200
454.5,543,7065,0,2536,2270,,507200
455.5,466,7037,0,2501,2272,,500200
456.5,399,7014,0,2471,2274,,494200
457.5,341,6994,0,2445,2277,,489000
458.5,291,6979,0,2423,2279,,484600
459.5,248,6967,0,2405,2282,,481000
460.5,210,6959,0,2390,2286,,478000
461.5,178,6956,0,2378,2289,,475600
462.5,151,6956,0,2369,2294,,473800
463.5,127,6959,0,2362,2299,,472400
464.5,107,6967,0,2358,2305,,471600
465.5,90,6978,0,2356,2311,,471200
466.5,76,6993,0,2356,2318,,471200
467.5,63,7011,0,2358,2326,,471600
468.5,53,7033,0,2362,2335,,472400
469.5,44,7058,0,2367,2345,,473400
470.5,37,7087,0,2374,2356,,474800
471.5,30,7119,0,2383,2368,,476600
472.5,25,7155,0,2393,2381,,478600
473.5,21,7194,0,2405,2394,,481000
474.5,17,7236,0,2418,2409,,483600
475.5,14,7282,0,2432,2425,,486400
476.5,12,7331,0,2448,2442,,489600
477.5,9,7384,0,2464,2460,,492800
478.5,8,7440,0,2483,2479,,496600
479.5,6,7499,0,2502,2499,,500400
480.5,5,7562,0,2522,2520,,504400
481.5,4,7628,0,2544,2542,,508800
482.5,3,7697,0,2567,2565,,513400
483.5,3,7769,0,2591,2589,,518200
484.5,2,7845,0,2616,2615,,523200
485.5,2,7924,0,2642,2641,,528400
486.5,1,8006,0,2669,2668,,533800
487.5,1,8091,0,2697,2697,,539400
488.5,0,8180,0,2727,2726,,545400
489.5,0,8272,0,2757,2757,,551400
490.5,0,8366,0,2789,2789,,557800
491.5,0,8464,0,2822,2821,,564400
492.5,0,8566,0,2855,2855,,571000
493.5,0,8670,0,2890,2890,,578000
494.5,0,8777,0,2926,2926,,585200
495.5,0,8887,0,2962,2962,,592400
496.5,0,9000,0,3000,3000,,600000
497.5,0,9116,0,3039,3039,,607800
498.5,0,9235,0,3078,3078,,615600
499.5,0,9357,0,3119,3119,,623800
500.5,0,9481,0,3161,3160,,632200
501.5,0,9609,0,3203,3203,,640600
502.5,0,9739,0,3246,3246,,649200
503.5,0,9871,0,3290,3290,,658000
504.5,0,10006,0,3335,3335,,667000
505.5,0,10143,0,3381,3381,,676200
506.5,0,10283,0,3428,3428,,685600
507.5,0,10425,0,3475,3475,,695000
508.5,0,10569,0,3523,3523,,704600
509.5,0,10715,0,3572,3572,,714400
510.5,0,10862,0,3621,3621,,724200
511.5,0,11012,0,3671,3671,,734200
512.5,0,11163,0,3721,3721,,744200
513.5,0,11316,0,3772,3772,,754400
514.5,0,11470,0,3823,3823,,764600
515.5,0,11625,0,3875,3875,,775000
516.5,0,11782,0,3927,3927,,785400
517.5,0,11939,0,3980,3980,,796000
518.5,0,12097,0,4032,4032,,806400
519.5,0,12256,0,4085,4085,,817000
520.5,0,12414,0,4138,4138,,827600
521.5,0,12573,0,4191,4191,,838200
522.5,0,12732,0,4244,4244,,848800
523.5,0,12891,0,4297,4297,,859400
524.5,0,13049,0,4350,4350,,870000
525.5,0,13206,0,4402,4402,,880400
526.5,0,13362,0,4454,4454,,890800
527.5,0,13518,0,4506,4506,,901200
528.5,0,13671,0,4557,4557,,911400
529.5,0,13823,0,4608,4608,,921600
530.5,0,13973,0,4658,4658,,931600
531.5,0,14121,0,4707,4707,,941400
532.5,0,14266,0,4755,4755,,951000
533.5,0,14409,0,4803,4803,,960600
534.5,0,14548,0,4849,4849,,969800
535.5,0,14685,0,4895,4895,,979000
536.5,0,14817,0,4939,4939,,987800
537.5,0,14946,0,4982,4982,,996400
538.5,0,15071,0,5024,5024,,1004800
539.5,0,15191,0,5064,5064,,1012800
540.5,0,15306,0,5102,5102,,1020400
541.5,0,15416,0,5139,5139,,1027800
542.5,0,15522,0,5174,5174,,1034800
543.5,0,15621,0,5207,5207,,1041400
544.5,0,15715,0,5238,5238,,1047600
545.5,0,15802,0,5267,5267,,1053400
546.5,0,15884,0,5295,5295,,1059000
547.5,0,15958,0,5319,5319,,1063800
548.5,0,16026,0,5342,5342,,1068400
549.5,0,16087,0,5362,5362,,1072400
550.5,0,16140,0,5380,5380,,1076000
551.5,0,16186,0,5395,5395,,1079000
552.5,0,16224,0,5408,5408,,1081600
553.5,0,16254,0,5418,5418,,1083600
554.5,0,16276,0,5425,5425,,1085000
555.5,0,16290,0,5430,5430,,1086000
556.5,0,16295,0,5432,5432,,1086400
557.5,0,16292,0,5431,5431,,1086200
558.5,0,16280,0,5427,5427,,1085400
559.5,0,16259,0,5420,5420,,1084000
560.5,0,16229,0,5410,5410,,1082000
561.5,0,16190,0,5397,5397,,1079400
562.5,0,16142,0,5381,5381,,1076200
563.5,0,16085,0,5362,5362,,1072400
564.5,0,16018,0,5339,5339,,1067800
565.5,0,15943,0,5314,5314,,1062800
566.5,0,15858,0,5286,5286,,1057200
567.5,0,15765,0,5255,5255,,1051000
568.5,0,15662,0,5221,5221,,1044200
569.5,0,15550,0,5183,5183,,1036600
570.5,0,15430,0,5143,5143,,1028600
571.5,0,15300,0,5100,5100,,1020000
572.5,0,15162,0,5054,5054,,1010800
573.5,0,15016,0,5005,5005,,1001000
