,,,,,Dilution factor,200,
Size (nm), Read 1 (particles / ml),Read 2 (particles / ml),Read 3 (particles / ml),Average,Standard Error,,
466.5,4328,5213,19,3187,1604,,637400
467.5,4342,4880,16,3079,1540,,615800
468.5,4359,4564,13,2978,1484,,595600
469.5,4377,4263,10,2884,1437,,576800
470.5,4398,3978,8,2795,1399,,559000
471.5,4421,3708,7,2712,1368,,542400
472.5,4446,3452,5,2634,1345,,526800
473.5,4473,3210,4,2562,1330,,512400
474.5,4502,2981,3,2496,1321,,499200
475.5,4534,2766,3,2434,1319,,486800
476.5,4567,2564,2,2378,1321,,475600
477.5,4603,2373,2,2326,1329,,465200
478.5,4641,2194,1,2279,1340,,455800
479.5,4681,2027,0,2236,1355,,447200
480.5,4723,1870,0,2198,1373,,439600
481.5,4767,1723,0,2163,1393,,432600
482.5,4813,1586,0,2133,1416,,426600
483.5,4861,1458,0,2106,1440,,421200
484.5,4912,1338,0,2084,1466,,416800
485.5,4964,1228,0,2064,1493,,412800
486.5,5019,1125,0,2048,1521,,409600
487.5,5076,1029,0,2035,1549,,407000
488.5,5134,940,0,2025,1578,,405000
489.5,5195,858,0,2018,1608,,403600
490.5,5257,783,0,2013,1638,,402600
491.5,5322,713,0,2012,1668,,402400
492.5,5388,648,0,2012,1698,,402400
493.5,5457,589,0,2015,1729,,403000
494.5,5527,535,0,2021,1760,,404200
495.5,5599,484,0,2028,1791,,405600
496.5,5673,439,0,2037,1822,,407400
497.5,5749,397,0,2048,1854,,409600
498.5,5826,358,0,2061,1885,,412200
499.5,5905,323,0,2076,1917,,415200
500.5,5985,291,0,2092,1948,,418400
501.5,6067,262,0,2110,1980,,422000
502.5,6151,235,0,2129,2012,,425800
503.5,6236,211,0,2149,2044,,429800
504.5,6322,189,0,2170,2076,,434000
505.5,6409,169,0,2193,2109,,438600
506.5,6497,152,0,2216,2141,,443200
507.5,6586,135,0,2241,2173,,448200
508.5,6677,121,0,2266,2206,,453200
509.5,6767,108,0,2292,2238,,458400
510.5,6859,96,0,2318,2271,,463600
511.5,6951,85,0,2345,2303,,469000
512.5,7043,76,0,2373,2335,,474600
513.5,7136,67,0,2401,2367,,480200
514.5,7228,59,0,2429,2400,,485800
515.5,7321,52,0,2458,2431,,491600
516.5,7413,46,0,2486,2463,,497200
517.5,7504,41,0,2515,2495,,503000
518.5,7595,36,0,2544,2526,,508800
519.5,7685,32,0,2572,2557,,514400
520.5,7775,28,0,2601,2587,,520200
521.5,7863,24,0,2629,2617,,525800
522.5,7949,21,0,2657,2646,,531400
523.5,8034,19,0,2684,2675,,536800
524.5,8117,16,0,2711,2703,,542200
525.5,8198,14,0,2737,2730,,547400
526.5,8276,12,0,2763,2757,,552600
527.5,8352,11,0,2788,2782,,557600
528.5,8425,9,0,2812,2807,,562400
529.5,8496,8,0,2835,2830,,567000
530.5,8563,7,0,2857,2853,,571400
531.5,8626,6,0,2877,2874,,575400
532.5,8686,5,0,2897,2894,,579400
533.5,8742,5,0,2915,2913,,583000
534.5,8794,4,0,2932,2931,,586400
535.5,8841,3,0,2948,2946,,589600
536.5,8884,3,0,2962,2961,,592400
537.5,8921,3,0,2975,2973,,595000
538.5,8954,2,0,2985,2984,,597000
539.5,8982,2,0,2995,2994,,599000
540.5,9004,2,0,3002,3001,,600400
541.5,9021,1,0,3007,3007,,601400
542.5,9031,1,0,3011,3010,,602200
543.5,9036,0,0,3012,3012,,602400
544.5,9035,0,0,3012,3012,,602400
545.5,9027,0,0,3009,3009,,601800
546.5,9014,0,0,3005,3004,,601000
547.5,8993,0,0,2998,2998,,599600
548.5,8966,0,0,2989,2989,,597800
549.5,8933,0,0,2978,2978,,595600
550.5,8893,0,0,2964,2964,,592800
551.5,8846,0,0,2949,2949,,589800
552.5,8792,0,0,2931,2931,,586200
553.5,8732,0,0,2911,2911,,582200
554.5,8665,0,0,2888,2888,,577600
555.5,8592,0,0,2864,2864,,572800
556.5,8511,0,0,2837,2837,,567400
557.5,8425,0,0,2808,2808,,561600
558.5,8332,0,0,2777,2777,,555400
559.5,8232,0,0,2744,2744,,548800
560.5,8127,0,0,2709,2709,,541800
561.5,8015,0,0,2672,2672,,534400
562.5,7898,0,0,2633,2633,,526600
563.5,7776,0,0,2592,2592,,518400
564.5,7648,0,0,2549,2549,,509800
565.5,7515,0,0,2505,2505,,501000
566.5,7377,0,0,2459,2459,,491800
567.5,7234,0,0,2411,2411,,482200
568.5,7087,0,0,2362,2362,,472400
569.5,6937,0,0,2312,2312,,462400
570.5,6782,0,0,2261,2261,,452200
571.5,6624,0,0,2208,2208,,441600
572.5,6464,0,0,2155,2155,,431000
573.5,6300,0,0,2100,2100,,420000
574.5,6135,0,0,2045,2045,,409000
575.5,5967,0,0,1989,1989,,397800
576.5,5797,0,0,1932,1932,,386400
