"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CUTALP",101.328756657639,-0.129075200899421,0.194654334486058,0.398803165552788,0.650596706756244
"CUTC",113.676010511183,-0.345283426611516,0.209498151984029,0.0380348141844084,0.138911768426726
"CUX1",265.922242772054,-0.122700835201786,0.159886442334076,0.369605472155492,0.624367401762594
"CUZD1",10.5688692436895,-0.0596628732454672,0.293072541854417,0.591618209361274,0.799713066824414
"CWC15",377.060652502589,-0.096356770054228,0.131988344458505,0.418368957197972,0.667850541503027
"CWC22",249.796628927002,0.0252612723903329,0.130630554374344,0.832086205443706,0.928824582348534
"CWC25",244.970993936477,0.0147102597698217,0.135256327012924,0.904781703549422,0.960144088715857
"CWC27",281.539669640678,-0.146111428509972,0.132314560076266,0.220624830009802,0.462612382835978
"CWF19L1",283.524455872184,0.0313793505642739,0.136196183336441,0.798680501057865,0.9127530819705
"CWF19L2",115.579158675107,0.0215715056631415,0.176591002833542,0.883015091339268,0.952059892092414
"CX3CL1",1.98720051242025,0.0034072534267665,0.305725590992022,0.948260638406699,NA
"CXADR",9.12556194337669,-0.160185125885044,0.365438215984044,0.0241978135093326,0.0982246652243859
"CXCL1",162.971183978057,0.550145047121308,0.180801295009836,0.000499229858245142,0.00418310579714396
"CXCL16",3.83347449293544,-0.0591642636714153,0.307093627779478,0.45476285482888,NA
"CXCL2",26.6266337942923,0.702159327795078,0.722999468993355,0.01545707902176,0.0696798993329986
"CXCL3",26.0251950186082,1.28084399915836,0.653402492958482,0.0018868393472944,0.0128591271956617
"CXCL5",152.342362842263,0.165524092114704,0.170324364920569,0.248345107611888,0.497441313410107
"CXCL6",14.1798232950338,0.258916873778578,0.416473804080888,0.079126678880638,0.235738190607858
"CXCL8",194.695975454158,1.58416383490036,0.17926420835053,7.00447513497524e-20,5.05366145916218e-18
"CXCR4",4.91198672728699,0.0617148873650188,0.306621900705556,0.455606544238622,0.698181089491372
"CXCR5",96.3885569255371,-0.0659262056758697,0.316279143581964,0.212017327161806,0.45259516766959
"CXCR6",6.7045532326588,0.00228787958133061,0.294754885642983,0.982125140916284,0.9927090987897
"CXorf38",185.676813090579,-0.0511009444585245,0.157080774888477,0.704648712224278,0.865092241008695
"CXorf40A",87.7513535442588,0.145155508446576,0.20978849587344,0.360957915569839,0.617591544744793
"CXorf40B",165.588562315449,0.224349811173275,0.163834023607079,0.109787832906574,0.296072729855224
"CXorf56",140.411562803885,0.063519647080828,0.183411795350025,0.669577833396823,0.844967587099404
"CXXC1",328.500578784951,-0.0812974609735448,0.129865618222908,0.489004022757044,0.72471690396158
"CXXC5",86.1896900821182,-2.08075123708657,0.289814012027471,3.98171375792542e-14,1.75745818721137e-12
"CYB561",105.987333547481,-0.63589457352641,0.255707307275454,0.00188166535012204,0.0128413605772085
"CYB561A3",358.039068708022,0.0349739639103456,0.11890417119387,0.751062413953908,0.890168960687222
"CYB561D1",93.1908004098116,0.287902335496074,0.24535752658761,0.103593472058019,0.284157783800893
"CYB561D2",185.682889053182,0.115217729578577,0.151353677591923,0.383825782106091,0.637457822476725
"CYB5A",169.712530260997,-0.176868927598205,0.159429458486463,0.196453209194815,0.431654947974131
"CYB5B",860.353850701383,0.148923720964103,0.0966461159110483,0.104071758812938,0.28524373910466
"CYB5D1",213.562765608014,0.184832025325017,0.149229369218556,0.158274631743842,0.376065135937276
"CYB5D2",62.3847671937009,0.48931804769487,0.311694560255747,0.0218582973228514,0.0907406550273946
"CYB5R1",305.623987220263,0.096917189585243,0.133400984739425,0.421149117629004,0.670426614510131
"CYB5R2",3.82314105279897,-0.102314871398484,0.325343200486927,0.17686044829099,NA
"CYB5R3",1430.80027317865,-0.21947399409547,0.0735795169755206,0.00207438376357918,0.0138912437037183
"CYB5R4",249.566381852837,0.542125807257192,0.167520589192972,0.000268268590276406,0.00245781851909525
